v8-version,6,2,414,50,0
code-creation,Builtin,5,3072,0x333c03bd60a0,159,"AsyncGeneratorReturnClosedRejectClosure"
code-creation,Builtin,5,3077,0x333c03bd61a0,20,"ArrayConstructor"
code-creation,Builtin,5,3078,0x333c03bd6220,99,"ArrayIsArray"
code-creation,Builtin,5,3079,0x333c03bd6300,15,"ArrayConcat"
code-creation,Builtin,5,3080,0x333c03bd6380,651,"FastArrayPop"
code-creation,Builtin,5,3081,0x333c03bd6680,15,"ArrayPop"
code-creation,Builtin,5,3082,0x333c03bd6700,2400,"FastArrayPush"
code-creation,Builtin,5,3083,0x333c03bd70c0,15,"ArrayPush"
code-creation,Builtin,5,3083,0x333c03bd7140,1056,"FastArrayShift"
code-creation,Builtin,5,3084,0x333c03bd75c0,15,"ArrayShift"
code-creation,Builtin,5,3085,0x333c03bd7640,15,"ArrayUnshift"
code-creation,Builtin,5,3086,0x333c03bd76c0,15,"ArraySlice"
code-creation,Builtin,5,3087,0x333c03bd7740,15,"ArraySplice"
code-creation,Builtin,5,3088,0x333c03bd77c0,1264,"ArrayIncludes"
code-creation,Builtin,5,3089,0x333c03bd7d20,1052,"ArrayIndexOf"
code-creation,Builtin,5,3090,0x333c03bd81a0,386,"ArrayPrototypeKeys"
code-creation,Builtin,5,3091,0x333c03bd83a0,526,"ArrayPrototypeEntries"
code-creation,Builtin,5,3092,0x333c03bd8620,526,"ArrayPrototypeValues"
code-creation,Builtin,5,3093,0x333c03bd88a0,1509,"ArrayForEach"
code-creation,Builtin,5,3094,0x333c03bd8f00,538,"ToLength"
code-creation,Builtin,5,3094,0x333c03bd9180,249,"NonNumberToNumber"
code-creation,Builtin,5,3095,0x333c03bd92e0,190,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,3096,0x333c03bd9400,2784,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,3097,0x333c03bd9f40,1936,"ProxyHasProperty"
code-creation,Builtin,5,3098,0x333c03bda740,2028,"HasProperty"
code-creation,Builtin,5,3099,0x333c03bdafa0,5774,"ArrayFilter"
code-creation,Builtin,5,3100,0x333c03bdc6a0,4696,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,3101,0x333c03bdd960,2764,"ArrayMap"
code-creation,Builtin,5,3102,0x333c03bde4a0,2832,"ArrayMapLoopContinuation"
code-creation,Builtin,5,3103,0x333c03bdf020,1761,"ArrayEvery"
code-creation,Builtin,5,3104,0x333c03bdf780,2880,"ArrayEveryLoopContinuation"
code-creation,Builtin,5,3105,0x333c03be0320,1737,"ArraySome"
code-creation,Builtin,5,3106,0x333c03be0a60,2864,"ArraySomeLoopContinuation"
code-creation,Builtin,5,3107,0x333c03be1600,1643,"ArrayReduce"
code-creation,Builtin,5,3108,0x333c03be1ce0,2872,"ArrayReduceLoopContinuation"
code-creation,Builtin,5,3108,0x333c03be2880,1788,"ArrayReduceRight"
